boardId,collection,docId,docNumber,lineIdx,urlPath,title,vendor,libraryProductId,houzzId,hostClass,ivyUrl,bucket,confidence,matchMethod,proposedUrl,proposedHouzzId,skipReason,note
,products,020jpCGTY3wfvcDkbP8v,,,imageUrl,Seychelles Navy,Samuel & Son,020jpCGTY3wfvcDkbP8v,33498799,ivy,https://ivy-uploads.s3.us-west-2.amazonaws.com/2426/productImage/11390187/Seychelles_Navy.jpg?AWSAccessKeyId=AKIA2A2RLV6ZHJZOVAIO&Expires=1777895392&Signature=T76drr1byMQHNqvk9BzYrYVqKYs%3D,crosswalk,medium,libraryProductId+houzzId-manifest,https://firebasestorage.googleapis.com/v0/b/cch-design-boards.firebasestorage.app/o/houzz-products%2F33498799%2F1.jpg?alt=media&token=99c557dc-c7fb-4c14-84ff-3556e6ef14e2,33498799,,Library link ok but library imageUrl still Ivy — use manifest
,products,026kXpYrCmaxi9i9W49m,,,imageUrl,MAGNUS STEEL DUVET COVER AND COMFORTER,Eastern Accents,026kXpYrCmaxi9i9W49m,33490317,ivy,https://ivy-uploads.s3.us-west-2.amazonaws.com/2426/productImage/26261597/5vue0_dvq_392_1b.jpeg?AWSAccessKeyId=AKIA2A2RLV6ZHJZOVAIO&Expires=1777895384&Signature=QoCrbVoH7fOkYFW6G03fU61p0LU%3D,crosswalk,medium,libraryProductId+houzzId-manifest,https://firebasestorage.googleapis.com/v0/b/cch-design-boards.firebasestorage.app/o/houzz-products%2F33490317%2F1.jpeg?alt=media&token=013ce8ad-ad43-4265-a557-9758f76d4eb4,33490317,,Library link ok but library imageUrl still Ivy — use manifest
,products,02SCRFYzsAzLjz5StyF1,,,imageUrl,Modern Shower Curtain Rod,West Elm,02SCRFYzsAzLjz5StyF1,56218911,ivy,https://ivy-uploads.s3.us-west-2.amazonaws.com/2426/productImage/32914816/0pmrq_modern_shower_curtain_rod_z.jpeg?AWSAccessKeyId=AKIA2A2RLV6ZHJZOVAIO&Expires=1777895395&Signature=yPq5Ims%2Bah1%2B2wJ7d4%2F61dHCKS4%3D,crosswalk,medium,libraryProductId+houzzId-manifest,https://firebasestorage.googleapis.com/v0/b/cch-design-boards.firebasestorage.app/o/houzz-products%2F56218911%2F1.jpeg?alt=media&token=532da7e3-ab7c-43c1-a493-08534996912d,56218911,,Library link ok but library imageUrl still Ivy — use manifest
,products,03Acb9dvkcX0YRMhi9j5,,,imageUrl,Modern Fluted Brushed Nickel Wall-Mounted Toilet Paper Holder,Crate & Barrel,03Acb9dvkcX0YRMhi9j5,52277781,ivy,https://ivy-uploads.s3.us-west-2.amazonaws.com/2426/productImage/28381418/6f8sr_HexBrshdNcklKnobSSF22_zmGR.jpeg?AWSAccessKeyId=AKIA2A2RLV6ZHJZOVAIO&Expires=1777895394&Signature=LsAPySTW0x3EPW9MORQ7ItzeTxM%3D,crosswalk,medium,libraryProductId+houzzId-manifest,https://firebasestorage.googleapis.com/v0/b/cch-design-boards.firebasestorage.app/o/houzz-products%2F52277781%2F1.jpeg?alt=media&token=70dd6d45-85fa-498f-aa8f-c53ad501e68c,52277781,,Library link ok but library imageUrl still Ivy — use manifest
,products,03rHGBZWERfCYNm6xAx4,,,imageUrl,Fishbone Buffet Lamp,Regina Andrews,03rHGBZWERfCYNm6xAx4,33494508,ivy,https://ivy-uploads.s3.us-west-2.amazonaws.com/2426/productImage/6820698/k7fsj_13_1222_Ebony_1.jpeg?AWSAccessKeyId=AKIA2A2RLV6ZHJZOVAIO&Expires=1777895389&Signature=NNZdfsCjUU9LeiiOTLxU3w7QG%2FY%3D,crosswalk,medium,libraryProductId+houzzId-manifest,https://firebasestorage.googleapis.com/v0/b/cch-design-boards.firebasestorage.app/o/houzz-products%2F33494508%2F1.jpeg?alt=media&token=c6900a49-0d04-4190-9142-25ee6e6b3d45,33494508,,Library link ok but library imageUrl still Ivy — use manifest
,products,03t1GSwmkEKMGsB3Y3rb,,,imageUrl,BAJA CHANDELIER,Arteriors,03t1GSwmkEKMGsB3Y3rb,33494121,ivy,https://ivy-uploads.s3.us-west-2.amazonaws.com/2426/productImage/14390014/knjao_45094.jpeg?AWSAccessKeyId=AKIA2A2RLV6ZHJZOVAIO&Expires=1777895388&Signature=2jCmnMUML284lM5j2LShLEP3a0w%3D,crosswalk,medium,libraryProductId+houzzId-manifest,https://firebasestorage.googleapis.com/v0/b/cch-design-boards.firebasestorage.app/o/houzz-products%2F33494121%2F1.jpeg?alt=media&token=c1645cff-3746-4f0f-8567-32d77c85cedd,33494121,,Library link ok but library imageUrl still Ivy — use manifest
,products,04FtrBxUKq3NoO7QlyjP,,,imageUrl,Acorn Black Iron Butt Hinge,Van Dyke's Restorers,04FtrBxUKq3NoO7QlyjP,33498133,ivy,https://ivy-uploads.s3.us-west-2.amazonaws.com/2426/productImage/1415443/02095426.jpg?AWSAccessKeyId=AKIA2A2RLV6ZHJZOVAIO&Expires=1777895391&Signature=ZpK6HM7FbZbwBZSJex6oewQJd20%3D,crosswalk,medium,libraryProductId+houzzId-manifest,https://firebasestorage.googleapis.com/v0/b/cch-design-boards.firebasestorage.app/o/houzz-products%2F33498133%2F1.jpg?alt=media&token=7d59672e-f53f-48e9-89e4-408023c445b1,33498133,,Library link ok but library imageUrl still Ivy — use manifest
,products,05djc0KakoQG4ArOYuch,,,imageUrl,Vintage Mini Pivot Mirror,Pottery Barn,05djc0KakoQG4ArOYuch,33492530,ivy,https://ivy-uploads.s3.us-west-2.amazonaws.com/2426/productImage/20034664/hdcdz_vintage_mini_pivot_mirror_l.jpeg?AWSAccessKeyId=AKIA2A2RLV6ZHJZOVAIO&Expires=1777895387&Signature=qHCmCIJk9qsVNzHxxxTCrvVzdzU%3D,crosswalk,medium,libraryProductId+houzzId-manifest,https://firebasestorage.googleapis.com/v0/b/cch-design-boards.firebasestorage.app/o/houzz-products%2F33492530%2F1.jpeg?alt=media&token=c5d12ad3-28ef-448f-9cfb-e5ed72addfb0,33492530,,Library link ok but library imageUrl still Ivy — use manifest
,products,05eshRk8VCssemetXLWC,,,imageUrl,GAMBETTA WEAVE - RED,KRAVET,05eshRk8VCssemetXLWC,33495872,ivy,https://ivy-uploads.s3.us-west-2.amazonaws.com/2426/productImage/9849751/aef8o_8019120_19.jpeg?AWSAccessKeyId=AKIA2A2RLV6ZHJZOVAIO&Expires=1777895390&Signature=yN6gMBUpcnuQbxxOmue6ox4pbNs%3D,crosswalk,medium,libraryProductId+houzzId-manifest,https://firebasestorage.googleapis.com/v0/b/cch-design-boards.firebasestorage.app/o/houzz-products%2F33495872%2F1.jpeg?alt=media&token=524afcb6-5792-496c-95c5-3c215eaa2fad,33495872,,Library link ok but library imageUrl still Ivy — use manifest
,products,05oCZskMr8wxKwXohVSR,,,imageUrl,Bedouin Bowl Platform,Regina Andrews,05oCZskMr8wxKwXohVSR,33493031,ivy,https://ivy-uploads.s3.us-west-2.amazonaws.com/2426/productImage/18090908/aodrx_20_1204_1.jpeg?AWSAccessKeyId=AKIA2A2RLV6ZHJZOVAIO&Expires=1777895387&Signature=5fL%2B1UKLxvLOEESAzTFtC2tn87g%3D,crosswalk,medium,libraryProductId+houzzId-manifest,https://firebasestorage.googleapis.com/v0/b/cch-design-boards.firebasestorage.app/o/houzz-products%2F33493031%2F1.jpeg?alt=media&token=f0ad22b3-8e3d-4971-8ae0-b26665c6cb38,33493031,,Library link ok but library imageUrl still Ivy — use manifest
