clipDocId,title,vendor,houzzId,sku,source,beforeRoom,afterRoom,beforeCategory,beforeClientPrice,afterClientPrice,action,reason
05umcrfzCP8EKjjhMljy,Lakeview Signature,Flambeaux,,,houzz-import,Exterior,Exterior,,$3970.00,3970,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
0FQe1NCPkJMFrbvBLjJH,ARIA Chair,SixPenny,,,houzz-import,Game room,Game room,,,,review-empty-category,review-empty-category
0TRFQcYAypg10mBelu1j,Bouy Parchment Pendant,Elu,,,houzz-import,Game room,Game room,,,,review-empty-category,review-empty-category
0YnHrjhWldbjURenYyVP,Telal Ceiling Light,Etsy,,,houzz-import,Guest 4,Guest 4,,$1296.81,1296.81,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
0jcv9p6txEyFHshAAhtj,Manhattan Signature,Flambeaux,,,houzz-import,Hall,Hall,,$10890.00,10890,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
0mWU79dCq0zuUSManEmG,Elsinore Medium Hanging Lantern,Visual Comfort,,,houzz-import,MBR & Bath,MBR & Bath,,$1214.19,1214.19,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
0wJ7165xSv4GnpyZXuY7,Fisher Sconce Single,Regina Andrews,,,houzz-import,Powder 3,Powder 3,,$945.00,945,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
12A5Vh1ALtYKolK7lR0I,Vintage Lantern,Elu,,,houzz-import,Exterior,Exterior,,$3410.00,3410,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
1JA9nFfnLji0P3XRx6IT,REX V.1 FLUSH,Urban Electric,,,houzz-import,Powder 1,Powder 1,,$2792.50,2792.5,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
1PMknCX2cetUlx1wYFhV,Linden Rectangular Pivot Mirror,Pottery Barn,,,houzz-import,Guest 4,Guest 4,,$538.65,538.65,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
1QY6ug0s2EYXlZ5JwMx8,Broomfield Small Hanging Shade,Visual Comfort,,,houzz-import,office,office,,$2436.69,2436.69,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
1QfQNnGEsedKLBbFLH4Y,THE ORIGINAL™ VENTED GOOSENECK LIGHT,Barn Electric,,,houzz-import,Mudroom,Mudroom,,$378.40,378.4,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
1SEDFi5Vx4zzaDk8E9Sq,MAJORELLE - OCEAN,Peter Dunham,,131MJR05,houzz-import,Guest 2,Guest 2,,$152.55,152.55,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
1dKeZMdzPRxq6MZ2uhvh,Ghostwood Octagonal Dining Table,Western Heritage Furniture,,,houzz-import,Kitchen,Kitchen,,,,review-empty-category,review-empty-category
23w3bJzv1wi4Kk2kL8DY,Emerson Bell Jar Pendant Small,Regina Andrews,,,houzz-import,Butler Pantry,Butler Pantry,,$2360.00,2360,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
2BRHouGcKCWKvy4tTiML,LE3030 Fescue,Hartmann & Forbes,,,houzz-import,Windows,Windows,,,,review-empty-category,review-empty-category
2LJcbZiJJtj7Jb0pPJSe,Piaf Large Tail Sconce,Visual Comfort,,,houzz-import,Guest 3,Guest 3,,$565.38,565.38,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
2bMgnRi1p6NtSUcGmLGY,Elkins Double Sconce,Visual Comfort,,,houzz-import,Guest 4,Guest 4,,$1132.38,1132.38,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
2qC3gXDShR3ILjSAIPOy,THE ORIGINAL™ STEM PENDANT LIGHT,Barn Electric,,,houzz-import,Laundry,Laundry,,$1095.60,1095.6,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
2wHRae5AqAImAlne8odK,DEEG - GREEN ON TAN,Peter Dunham,,,houzz-import,Guest 3,Guest 3,,$153.90,153.9,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
3WiOezb0qTBxyt0VNPC3,Anatolia Round 8' Rug,Safavieh,, Anatolia Collection Design: AN521A ,houzz-import,,,,,,review-empty-category,review-empty-category
3eY5yyvLjDVg16Dr6Y5u,BRERA VIALE THYME,Designers Guild (USA) Inc.,,,houzz-import,Guest 3,Guest 3,,,,review-empty-category,review-empty-category
3gE9Htbbg2Md1felHErE,Parade Stripe,Travers,,44210765,houzz-import,Guest 2,Guest 2,,,,review-empty-category,review-empty-category
3zR43iLBcn1nlybVliaT,Aperture Sconce,Hubbardton Forge,,Base Item #217510,houzz-import,Consessions,Consessions,,$1535.60,1535.6,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
4X1D4R2odPhIu934az8O,"Carson Rod Pendant, 12"" Width",Rejuvination,,,houzz-import,Laundry,Laundry,,$399.00,399,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
4budmBQQK0WxkpxqHgVw,ALMA - INDIGO,KRAVET,,BP10821.2.0,houzz-import,Guest 2,Guest 2,,$154.35,154.35,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
5krtiLdiUZntdVCsY7j8,RL 67 Boom Arm Wall Lamp,Circa Lighting ,,,houzz-import,MBR & Bath,MBR & Bath,,$664.24,664.24,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
6YKjtivxMO39uvS0HNMh,Milk Glass Bath Sconce,Elu,,,houzz-import,MBR & Bath,MBR & Bath,,,,review-empty-category,review-empty-category
6Z63yoJML4iKWAqPjXsq,Double Chandelier,Elu,,,houzz-import,Great Room,Great Room,,$15675.00,15675,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
6aG4kdIdUIXXBwwyBvkf,GABRIEL,SixPenny,,,houzz-import,Game room,Game room,,$4299.00,4299,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
6bsoGvPiMHQS6ZGJfMVW,Riley Large Ring Chandelier,Visual Comfort,,RL 5612NB/NVY-L,houzz-import,Guest 3,Guest 3,,$4061.69,4061.69,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
6ccVHSboTIN6MLYSGWxF,SB061-B Monterey Bureau Bookcase-Base Only,Somerset Bay,,SB061-B,houzz-import,Guest 4,Guest 4,,$4477.27,4477.27,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
70kC6PQP3OEIBlelBdHj,JACKSON,Urban Electric,,,houzz-import,Hall,Hall,,$2763.45,2763.45,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
7lrRFr7Bt8pRDzCiwXgx,Drum Pendant,Elu,,,houzz-import,MBR & Bath,MBR & Bath,,,,review-empty-category,review-empty-category
80K5wSpbHlH2AzPnmRgZ,Faro - Flax,Libeco,,1139-0011,houzz-import,Guest 4,Guest 4,,$77.90,77.9,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
8gIBdP3T8KB5TXHMRqvo,Large Cast Brass Arm and Milk Glass Wall Light,Early Electrics ,,883812166543,houzz-import,Butler Pantry,Butler Pantry,,$1700.00,1700,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
8vTqdvGjneGNcgcfpfCq,Custom Soapstone Kitchen Sink,Soapstone Sinks,,,houzz-import,Laundry,Laundry,,$1919.50,1919.5,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
90XTtC5qfZhlUlu2lnjZ,Brantley Lantern,Visual Comfort,,,houzz-import,Guest 2,Guest 2,,$2024.19,2024.19,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
985Sxg2aqXOD1o8KWTBR,Milk Glass Deco with Clear Crystal Cut Lens Bottom Pendents,Early Electrics ,,883847524562,houzz-import,Powder 3,Powder 3,,$575.00,575,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
9I2yr65L6fopeysWEm1G,Euphrasia Charcoal,Fabricut,,,houzz-import,Guest 3,Guest 3,,$60.75,60.75,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
9h4zka0uul4MFge4lWgp,Stoneleigh Herringbone  Pebble,Folia - Ralph Lauren,,,houzz-import,Kitchen,Kitchen,,,,review-empty-category,review-empty-category
9v374dIUGboA3DHjTL99,Stowe Wide Frame Square Wall Mirror,Pottery Barn,,,houzz-import,Guest 3,Guest 3,,$741.15,741.15,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
AqmfwcHbHHA8sSqLJWdd,Mason Large Outdoor Ceiling Fixture,Hubbardton Forge,,Base Item #363005,houzz-import,Exterior,Exterior,,$4613.40,4613.4,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
AuoUiglSi40voBXQk8sD,Blue Gray Enamel Vintage Industrial Brass Clear Glass Sconces Wall Lights,1st Dibs,,,houzz-import,Laundry,Laundry,,$466.51,466.51,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
AvwJoPqwQ6kKDnr2Bi1L,Henry Large Glass Shade Sconce,Hubbardton Forge,,Base Item #209323,houzz-import,Powder 1,Powder 1,,$1650.00,1650,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
B7WAdRw8Hh81yLSC8k5K,"32"" Soapstone sink",Soapstone Sinks,,,houzz-import,Mudroom,Mudroom,,$1395.00,1395,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
B8U5s93j0t9BMrv0bBrq,Classic Collection Round Rug 8',Safavieh,, Classic Collection Design: CL324A ,houzz-import,,,,,,review-empty-category,review-empty-category
BQL2ohkCLhOvDXJuvure,"Aubrey Project Table (58"")",Pottery Barn,,,houzz-import,Craft Room,Craft Room,,$2199.00,2199,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
BadehRA3gaJnpnNKr6rA,MALLEMORT TASK SCONCE,Restoration Hardware,,,houzz-import,office,office,,$2691.00,2691,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
C17RweaD6dqqrMn8TyC1,GABRIEL Chair,SixPenny,,,houzz-import,Game room,Game room,,$1649.00,1649,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
CsU6mK0r9lVXljEwVHqu,Dresser Long Glass Rod Light,Visual Comfort,,TOB 2141HAB-FG,houzz-import,Guest 3,Guest 3,,$1942.38,1942.38,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
CxrwOJm7Ki63I2Mmmxj6,Piatto Medium Pendant,Visual Comfort,,TOB5115,houzz-import,Bar,Bar,,$809.19,809.19,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
DXHJFNtmLuvoIoHC084S,Ethos Large LED Sconce,Hubbardton Forge,,"$1,823.80",houzz-import,MBR & Bath,MBR & Bath,,$7295.20,7295.2,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
DaUh2KD28tafNpFhRBtL,ARIA Corner Sectional,SixPenny,,,houzz-import,Game room,Game room,,$8249.00,8249,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
E1xSXfQCKBkbv0mLQgLv,Antilia,Zimmer & Rhodes,,21280685,houzz-import,Guest 4,Guest 4,,,,review-empty-category,review-empty-category
E9rpIEXH6urCZX5qNzZu,Mason Outdoor Ceiling Fixture,Hubbardton Forge,,Base Item #363003,houzz-import,Powder 1,Powder 1,,$2459.60,2459.6,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
ECFbWopBvqka3RpqPIib,Retrofit Exposed Pipe Shower Set - Matte Black,Signature Hardware,,,houzz-import,Pool Bath,Pool Bath,,$689.00,689,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
EI9SaUm0GDuRboMVD34L,Large Sq. Lantern,Elu,,,houzz-import,Kitchen,Kitchen,,$4812.50,4812.5,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
EgZZbs0rppfpijeWtmEp,Block Leg Coffee Table made from Reclaimed Pine,1st Dibs,,,houzz-import,Great Room,Great Room,,$9000.00,9000,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
Erlwn8eJzWswiqUm2Vha,Jonah Alabaster Sconce,Regina Andrews,,,houzz-import,Powder 3,Powder 3,,$945.00,945,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
FGNXaW0PdiauhhIOqvuk,"Cosmopolitan 30"" Picture Light",Visual Comfort,,,houzz-import,Hall,Hall,,$2914.38,2914.38,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
G4wRbC7mHzKtIRMZ8Drl,Agnes Console Table made from Reclaimed Wood by Petersen Antiques,1st Dibs,,,houzz-import,Entry,Entry,,$8000.00,8000,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
G9Y90gRlm1I6gY0qBJlK,Napoli Vintage,Libeco,,,houzz-import,Guest 4,Guest 4,,$69.20,69.2,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
GA1oqy7lUXq3tUKyJPEJ,Hand-Built Soapstone Sinks,M.Teixeira,,,houzz-import,Mudroom,Mudroom,,$2018.25,2018.25,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
GDXKBRwl5lmckjqfHv3R,LE2257 Lapis,Hartmann & Forbes,,,houzz-import,Windows,Windows,,,,review-empty-category,review-empty-category
GM6CVRB3iR0vqRIOLh1x,Double Drum Shade,Elu,,,houzz-import,Game room,Game room,,,,review-empty-category,review-empty-category
GdoxoznDtkxQllDgvdXd,DOUBLEBROOK PLAID,Designers Guild (USA) Inc.,,FRL5242-03,houzz-import,,,,$116.00,116,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
GuLNrK2mLUaakRA4HPhh,Belfair Large Double Sconce,Visual Comfort,,,houzz-import,MBR & Bath,MBR & Bath,,$889.38,889.38,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
GySQG4K7eq96kqEasOK4,METRO,Urban Electric,,,houzz-import,Butler Pantry,Butler Pantry,,$4872.50,4872.5,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
H23fTVhTZd4ebvnd5ZyY,Lauren Collection Runner,Safavieh,,LRL1310B Warwick,houzz-import,,,,,,review-empty-category,review-empty-category
H5BuD32t2YRNaZwGW5qR,Cannes Pendant,Visual Comfort,,RL 5060BZ-WG,houzz-import,Consessions,Consessions,,$3509.12,3509.12,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
H67cVwPRJiYCFuRy3H7s,Robertson Single Tier Chandelier,Visual Comfort,,,houzz-import,Guest 4,Guest 4,,$2807.12,2807.12,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
H8AWcjIxQDqQuws6YUnz,Monaco Collection,Safavieh,,  MNC243F ,houzz-import,,,,,,review-empty-category,review-empty-category
HM4pNM9uNL3vgmK7SKgE,Double sconce,Elu,,,houzz-import,Great Room,Great Room,,$3905.00,3905,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
I7zaYuSfHP2q41Nn7Pzf,"PACHETEAU TWEED BONE
RALPH LAUREN",no vendor,,FRL5044,houzz-import,,,,,,review-empty-category,review-empty-category
ITzyZyIoFYZWpPxY6U7A,Morris Small Lantern,Visual Comfort,,,houzz-import,MBR & Bath,MBR & Bath,,$1456.38,1456.38,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
IqpHlAAYZLPtOJLOTwfP,"Elsa Farm Table in White Oak, Built to Order by Petersen Antiques",1st Dibs,,,houzz-import,Dining Room,Dining Room,,,,review-empty-category,review-empty-category
J74YgoX8AwxXv2rguMuB,Buckhead Chest,Somerset Bay,,SB041,houzz-import,Guest 3,Guest 3,,$3335.18,3335.18,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
JXFvmlMtv09NplP7QgWs,MAJORELLE - BLACK ON NATURAL,Peter Dunham,,131MJR01,houzz-import,Outdoors,Outdoors,,$152.55,152.55,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
KOHgmSZtFQ3unABVedZk,Hex Lantern,Elu,,,houzz-import,MBR & Bath,MBR & Bath,,$5500.00,5500,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
KWx8sonF5jAxEeIQgBhL,Crisfield Bookshelf,Somerset Bay,,SB110,houzz-import,Game room,Game room,,$2768.18,2768.18,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
KvmlcgUakF8vxeiPwm7O,BRERA STRADA CHAMBRAY,Designers Guild (USA) Inc.,,,houzz-import,Guest 2,Guest 2,,,,review-empty-category,review-empty-category
KzoJ76hQ2yvaSKEgq5ij,Ceramica,Hudson Valley Lighting,,,houzz-import,Guest 4,Guest 4,,$1131.60,1131.6,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
LqsIAyEdz8vuXbbEVUC5,ALMA - RED/INDIGO,KRAVET,,BP10821.1.0,houzz-import,Game room,Game room,,$154.35,154.35,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
LxBAeUCGURWWOKU3Wdmd,Madison Linen in Sand,KRAVET,,32330-1116,houzz-import,Guest 2,Guest 2,,$97.13,97.13,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
M0gdtUIoFghnBNA3Rnj8,Amer Celadon Linen,Walter G,,,houzz-import,Guest 3,Guest 3,,,,review-empty-category,review-empty-category
MCIxO17lpoV8nmOxLgEm,Carrington Small Lantern,Visual Comfort,,,houzz-import,Exterior,Exterior,,$1666.37,1666.37,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
MjgjAQFT11hiboYgOVad,Fink Pendant,Elu,,,houzz-import,Reading Room,Reading Room,,,,review-empty-category,review-empty-category
Ml0ReGAbiaWhNAzf5eAF,JACKSON - Small,Urban Electric,,,houzz-import,Powder 3,Powder 3,,$7674.75,7674.75,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
NQ124UUkANwFTcGswB0q,Large Rec Glass Lantern sconce,Elu,,,houzz-import,Dining Room,Dining Room,,$8800.00,8800,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
Nft4a1VHkVaODale3p5M,Pienza - Resist,Legracieux ,,,houzz-import,Guest 3,Guest 3,,,,review-empty-category,review-empty-category
OEH2z8sB5EVncIeUpP8t,Linear Iron and Brass Chandelier,Elu,,,houzz-import,Dining Room,Dining Room,,$9750.00,9750,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
OLVatzU4Kf0eaY2E8HIC,Walker Swing Arm Sconce,Visual Comfort,,,houzz-import,Guest 4,Guest 4,,$727.38,727.38,fix-string-price+review-empty-category,"fix-string-price,review-empty-category"
OMnQKubyKOzufyxDBajF,LUGANO,Coraggio,,,houzz-import,Great Room,Great Room,,,,review-empty-category,review-empty-category
