clipDocId,title,vendor,sku,houzzId,matchedBy,oldCategory,newCategory
05umcrfzCP8EKjjhMljy,Lakeview Signature,Flambeaux,,,title,,LightingBedding & Pillows
0FQe1NCPkJMFrbvBLjJH,ARIA Chair,SixPenny,,,title,,Furniture & Upholstery
0TRFQcYAypg10mBelu1j,Bouy Parchment Pendant,Elu,,,title,,LightingBedding & Pillows
0YnHrjhWldbjURenYyVP,Telal Ceiling Light,Etsy,,,title,,LightingBedding & Pillows
0jcv9p6txEyFHshAAhtj,Manhattan Signature,Flambeaux,,,title,,LightingBedding & Pillows
0mWU79dCq0zuUSManEmG,Elsinore Medium Hanging Lantern,Visual Comfort,,,title,,LightingBedding & Pillows
0wJ7165xSv4GnpyZXuY7,Fisher Sconce Single,Regina Andrews,,,title,,LightingBedding & Pillows
12A5Vh1ALtYKolK7lR0I,Vintage Lantern,Elu,,,title,,LightingBedding & Pillows
1JA9nFfnLji0P3XRx6IT,REX V.1 FLUSH,Urban Electric,,,title,,LightingBedding & Pillows
1PMknCX2cetUlx1wYFhV,Linden Rectangular Pivot Mirror,Pottery Barn,,,title,,Mirrors & Accessories
1QY6ug0s2EYXlZ5JwMx8,Broomfield Small Hanging Shade,Visual Comfort,,,title,,LightingBedding & Pillows
1QfQNnGEsedKLBbFLH4Y,THE ORIGINAL™ VENTED GOOSENECK LIGHT,Barn Electric,,,title,,LightingBedding & Pillows
1SEDFi5Vx4zzaDk8E9Sq,MAJORELLE - OCEAN,Peter Dunham,131MJR05,,sku,,Fabric  + Trim
1dKeZMdzPRxq6MZ2uhvh,Ghostwood Octagonal Dining Table,Western Heritage Furniture,,,title,,Furniture & Upholstery
23w3bJzv1wi4Kk2kL8DY,Emerson Bell Jar Pendant Small,Regina Andrews,,,title,,LightingBedding & Pillows
2BRHouGcKCWKvy4tTiML,LE3030 Fescue,Hartmann & Forbes,,,title,,Window
2LJcbZiJJtj7Jb0pPJSe,Piaf Large Tail Sconce,Visual Comfort,,,title,,LightingBedding & Pillows
2bMgnRi1p6NtSUcGmLGY,Elkins Double Sconce,Visual Comfort,,,title,,LightingBedding & Pillows
2qC3gXDShR3ILjSAIPOy,THE ORIGINAL™ STEM PENDANT LIGHT,Barn Electric,,,title,,LightingBedding & Pillows
2wHRae5AqAImAlne8odK,DEEG - GREEN ON TAN,Peter Dunham,,,title,,Fabric  + Trim
3WiOezb0qTBxyt0VNPC3,Anatolia Round 8' Rug,Safavieh, Anatolia Collection Design: AN521A ,,sku,,Floor Covering
