clipDocId,title,vendor,sku,matchedBy,oldHouzzId,newHouzzId,oldImageHost,newImageOnFirebase,action
05umcrfzCP8EKjjhMljy,Lakeview Signature,Flambeaux,,title,,53036494,firebasestorage.googleapis.com,false,houzzId
0FQe1NCPkJMFrbvBLjJH,ARIA Chair,SixPenny,,title,,55273152,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
0TRFQcYAypg10mBelu1j,Bouy Parchment Pendant,Elu,,title,,54556397,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
0YnHrjhWldbjURenYyVP,Telal Ceiling Light,Etsy,,title,,54550144,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
0jcv9p6txEyFHshAAhtj,Manhattan Signature,Flambeaux,,title,,52997126,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
0mWU79dCq0zuUSManEmG,Elsinore Medium Hanging Lantern,Visual Comfort,,title,,54703434,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
0wJ7165xSv4GnpyZXuY7,Fisher Sconce Single,Regina Andrews,,title,,54574384,firebasestorage.googleapis.com,false,houzzId
12A5Vh1ALtYKolK7lR0I,Vintage Lantern,Elu,,title,,54545859,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
1JA9nFfnLji0P3XRx6IT,REX V.1 FLUSH,Urban Electric,,title,,54549683,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
1PMknCX2cetUlx1wYFhV,Linden Rectangular Pivot Mirror,Pottery Barn,,title,,53037447,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
1QY6ug0s2EYXlZ5JwMx8,Broomfield Small Hanging Shade,Visual Comfort,,title,,33490758,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
1QfQNnGEsedKLBbFLH4Y,THE ORIGINAL™ VENTED GOOSENECK LIGHT,Barn Electric,,title,,53041980,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
1SEDFi5Vx4zzaDk8E9Sq,MAJORELLE - OCEAN,Peter Dunham,131MJR05,sku,,53368714,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
1dKeZMdzPRxq6MZ2uhvh,Ghostwood Octagonal Dining Table,Western Heritage Furniture,,title,,54853427,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
23w3bJzv1wi4Kk2kL8DY,Emerson Bell Jar Pendant Small,Regina Andrews,,title,,54575801,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
2BRHouGcKCWKvy4tTiML,LE3030 Fescue,Hartmann & Forbes,,title,,53389033,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
2LJcbZiJJtj7Jb0pPJSe,Piaf Large Tail Sconce,Visual Comfort,,title,,54703059,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
2UwSssFkCPwqApM3Buj7,Black Buoy Pendant,Elu,,title,,54556158,firebasestorage.googleapis.com,false,houzzId
2bMgnRi1p6NtSUcGmLGY,Elkins Double Sconce,Visual Comfort,,title,,54703172,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
2qC3gXDShR3ILjSAIPOy,THE ORIGINAL™ STEM PENDANT LIGHT,Barn Electric,,title,,53042259,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
2wHRae5AqAImAlne8odK,DEEG - GREEN ON TAN,Peter Dunham,,title,,53384074,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
3WiOezb0qTBxyt0VNPC3,Anatolia Round 8' Rug,Safavieh, Anatolia Collection Design: AN521A ,sku,,33498163,,true,houzzId+imageUrl
3eY5yyvLjDVg16Dr6Y5u,BRERA VIALE THYME,Designers Guild (USA) Inc.,,title,,53385500,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
3gE9Htbbg2Md1felHErE,Parade Stripe,Travers,44210765,sku,,53373754,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
3zR43iLBcn1nlybVliaT,Aperture Sconce,Hubbardton Forge,Base Item #217510,sku,,54703992,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
4X1D4R2odPhIu934az8O,"Carson Rod Pendant, 12"" Width",Rejuvination,,title,,54613179,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
4budmBQQK0WxkpxqHgVw,ALMA - INDIGO,KRAVET,BP10821.2.0,sku,,53373921,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
5krtiLdiUZntdVCsY7j8,RL 67 Boom Arm Wall Lamp,Circa Lighting ,,title,,33494539,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
6YKjtivxMO39uvS0HNMh,Milk Glass Bath Sconce,Elu,,title,,54556109,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
6Z63yoJML4iKWAqPjXsq,Double Chandelier,Elu,,title,,54545340,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
6aG4kdIdUIXXBwwyBvkf,GABRIEL,SixPenny,,title,,55273121,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
6bsoGvPiMHQS6ZGJfMVW,Riley Large Ring Chandelier,Visual Comfort,RL 5612NB/NVY-L,sku,,53036844,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
6ccVHSboTIN6MLYSGWxF,SB061-B Monterey Bureau Bookcase-Base Only,Somerset Bay,SB061-B,sku,,53034584,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
70kC6PQP3OEIBlelBdHj,JACKSON,Urban Electric,,title,,54549960,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
7lrRFr7Bt8pRDzCiwXgx,Drum Pendant,Elu,,title,,54721227,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
80K5wSpbHlH2AzPnmRgZ,Faro - Flax,Libeco,1139-0011,sku,,33497003,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
8gIBdP3T8KB5TXHMRqvo,Large Cast Brass Arm and Milk Glass Wall Light,Early Electrics ,883812166543,sku,,54657716,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
8vTqdvGjneGNcgcfpfCq,Custom Soapstone Kitchen Sink,Soapstone Sinks,,title,,52253587,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
90XTtC5qfZhlUlu2lnjZ,Brantley Lantern,Visual Comfort,,title,,54703346,s3-us-west-2.amazonaws.com,false,houzzId
985Sxg2aqXOD1o8KWTBR,Milk Glass Deco with Clear Crystal Cut Lens Bottom Pendents,Early Electrics ,883847524562,sku,,54657731,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
9I2yr65L6fopeysWEm1G,Euphrasia Charcoal,Fabricut,,title,,53383627,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
9h4zka0uul4MFge4lWgp,Stoneleigh Herringbone  Pebble,Folia - Ralph Lauren,,title,,53373269,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
9v374dIUGboA3DHjTL99,Stowe Wide Frame Square Wall Mirror,Pottery Barn,,title,,53037240,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
AqmfwcHbHHA8sSqLJWdd,Mason Large Outdoor Ceiling Fixture,Hubbardton Forge,Base Item #363005,sku,,54704294,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
AuoUiglSi40voBXQk8sD,Blue Gray Enamel Vintage Industrial Brass Clear Glass Sconces Wall Lights,1st Dibs,,title,,53068029,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
AvwJoPqwQ6kKDnr2Bi1L,Henry Large Glass Shade Sconce,Hubbardton Forge,Base Item #209323,sku,,54600817,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
B7WAdRw8Hh81yLSC8k5K,"32"" Soapstone sink",Soapstone Sinks,,title,,52253596,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
